   Dia   Mês   Ano  Hora
    28    11  2022    03        0.000000
    28    11  2022    04        0.000000
    28    11  2022    05        0.000000
    28    11  2022    06        0.000000
    28    11  2022    07        0.000000
    28    11  2022    08        0.000000
    28    11  2022    09        0.000000
    28    11  2022    10        0.000000
    28    11  2022    11        0.000000
    28    11  2022    12        0.000000
    28    11  2022    13        0.000000
    28    11  2022    14        0.000000
    28    11  2022    15        0.000000
    28    11  2022    16        0.000000
    28    11  2022    17        0.000000
    28    11  2022    18        0.000000
    28    11  2022    19        0.000000
    28    11  2022    20        0.000000
    28    11  2022    21        0.000000
    28    11  2022    22        0.000000
    28    11  2022    23        0.000000
    29    11  2022    00        0.000000
    29    11  2022    01        0.000000
    29    11  2022    02        0.000000
    29    11  2022    03        0.000000
    29    11  2022    04        0.000000
    29    11  2022    05        0.000000
    29    11  2022    06        0.000000
    29    11  2022    07        0.000000
    29    11  2022    08        0.000000
    29    11  2022    09        0.000000
    29    11  2022    10        0.000000
    29    11  2022    11        0.000000
    29    11  2022    12        0.000000
    29    11  2022    13        0.000000
    29    11  2022    14        0.000000
    29    11  2022    15        0.000000
    29    11  2022    16        0.000000
    29    11  2022    17        0.000000
    29    11  2022    18        0.000000
    29    11  2022    19        0.000000
    29    11  2022    20        0.000000
    29    11  2022    21        0.000000
    29    11  2022    22        0.000000
    29    11  2022    23        0.000000
    30    11  2022    00        0.000000
    30    11  2022    01        0.000000
    30    11  2022    02        0.000000
    30    11  2022    03        0.000000
    30    11  2022    04        0.000000
    30    11  2022    05        0.000000
    30    11  2022    06        0.000000
    30    11  2022    07        0.000000
    30    11  2022    08        0.000000
    30    11  2022    09        0.000000
    30    11  2022    10        0.000000
    30    11  2022    11        0.000000
    30    11  2022    12        0.000000
    30    11  2022    13        0.000000
    30    11  2022    14        0.000000
    30    11  2022    15        0.000000
    30    11  2022    16        0.000000
    30    11  2022    17        0.000000
    30    11  2022    18        0.000000
    30    11  2022    19        0.000000
    30    11  2022    20        0.000000
    30    11  2022    21        0.000000
    30    11  2022    22        0.000000
    30    11  2022    23        0.000000
    01    12  2022    00        0.000000
    01    12  2022    01        0.000000
    01    12  2022    02        0.000000
    01    12  2022    03        0.000000
    01    12  2022    04        0.000000
    01    12  2022    05        0.000000
    01    12  2022    06        0.000000
    01    12  2022    07        0.000000
    01    12  2022    08        0.000000
    01    12  2022    09        0.000000
    01    12  2022    10        0.000000
    01    12  2022    11        0.000000
    01    12  2022    12        0.000000
    01    12  2022    13        0.000000
    01    12  2022    14        0.000000
    01    12  2022    15        0.000000
    01    12  2022    16        0.000000
    01    12  2022    17        0.000000
    01    12  2022    18        0.000000
    01    12  2022    19        0.000000
    01    12  2022    20        0.000000
    01    12  2022    21        0.000000
    01    12  2022    22        0.000000
    01    12  2022    23        0.000000
    02    12  2022    00        0.000000
    02    12  2022    01        0.000000
    02    12  2022    02        0.000000
    02    12  2022    03        0.000000
    02    12  2022    04        0.000000
    02    12  2022    05        0.000000
    02    12  2022    06        0.000000
    02    12  2022    07        0.000000
    02    12  2022    08        0.000000
    02    12  2022    09        0.000000
    02    12  2022    10        0.000000
    02    12  2022    11        0.000000
    02    12  2022    12        0.000000
    02    12  2022    13        0.000000
    02    12  2022    14        0.000000
    02    12  2022    15        0.000000
    02    12  2022    16        0.000000
    02    12  2022    17        0.000000
    02    12  2022    18        0.000000
    02    12  2022    19        0.000000
    02    12  2022    20        0.000000
    02    12  2022    21        0.000000
    02    12  2022    22        0.000000
    02    12  2022    23        0.000000
    03    12  2022    00        0.100000
    03    12  2022    01        0.330000
    03    12  2022    02        1.260000
    03    12  2022    03        0.090000
    03    12  2022    04        0.200000
    03    12  2022    05        0.030000
    03    12  2022    06        0.000000
    03    12  2022    07        0.000000
    03    12  2022    08        0.000000
    03    12  2022    09        0.000000
    03    12  2022    10        0.000000
    03    12  2022    11        0.000000
    03    12  2022    12        0.000000
    03    12  2022    13        0.000000
    03    12  2022    14        0.000000
    03    12  2022    15        0.000000
    03    12  2022    16        0.000000
    03    12  2022    17        0.000000
    03    12  2022    18        0.000000
    03    12  2022    19        0.000000
    03    12  2022    20        0.000000
    03    12  2022    21        0.000000
    03    12  2022    22        0.000000
    03    12  2022    23        0.010000
    04    12  2022    00        0.000000
    04    12  2022    01        0.000000
    04    12  2022    02        0.000000
    04    12  2022    03        0.000000
    04    12  2022    04        0.000000
    04    12  2022    05        0.000000
    04    12  2022    06        0.000000
    04    12  2022    07        0.000000
    04    12  2022    08        0.000000
    04    12  2022    09        0.000000
    04    12  2022    10        0.000000
    04    12  2022    11        0.000000
    04    12  2022    12        0.000000
    04    12  2022    13        0.000000
    04    12  2022    14        0.000000
    04    12  2022    15        0.000000
    04    12  2022    16        2.760000
    04    12  2022    17        0.920000
    04    12  2022    18        0.100000
    04    12  2022    19        0.000000
    04    12  2022    20        0.020000
    04    12  2022    21        0.190000
    04    12  2022    22        0.000000
    04    12  2022    23        0.000000
    05    12  2022    00        0.000000
    05    12  2022    01        0.000000
    05    12  2022    02        0.000000
    05    12  2022    03        0.000000
    05    12  2022    04        0.000000
    05    12  2022    05        0.000000
    05    12  2022    06        0.000000
    05    12  2022    07        0.000000
    05    12  2022    08        0.000000
    05    12  2022    09        0.000000
    05    12  2022    10        0.000000
    05    12  2022    11        0.000000
    05    12  2022    12        0.000000
    05    12  2022    13        0.000000
    05    12  2022    14        0.000000
    05    12  2022    15        0.000000
    05    12  2022    16        0.000000
    05    12  2022    17        0.000000
    05    12  2022    18        0.000000
    05    12  2022    19        0.000000
    05    12  2022    20        0.000000
    05    12  2022    21        0.000000
    05    12  2022    22        0.000000
    05    12  2022    23        0.000000
    06    12  2022    00        0.000000
    06    12  2022    01        0.000000
    06    12  2022    02        0.000000
    06    12  2022    03        0.000000
    06    12  2022    04        0.000000
    06    12  2022    05        0.000000
    06    12  2022    06        0.000000
    06    12  2022    07        0.000000
    06    12  2022    08        0.000000
    06    12  2022    09        0.000000
    06    12  2022    10        0.000000
    06    12  2022    11        0.000000
    06    12  2022    12        0.000000
    06    12  2022    13        0.000000
    06    12  2022    14        0.000000
    06    12  2022    15        0.000000
    06    12  2022    16        0.000000
    06    12  2022    17        0.000000
    06    12  2022    18        0.000000
    06    12  2022    19        0.000000
    06    12  2022    20        0.000000
    06    12  2022    21        0.000000
    06    12  2022    22        0.000000
    06    12  2022    23        0.000000
    07    12  2022    00        0.000000
    07    12  2022    01        0.000000
    07    12  2022    02        0.000000
    07    12  2022    03        0.000000
    07    12  2022    04        0.000000
    07    12  2022    05        0.000000
    07    12  2022    06        0.000000
    07    12  2022    07        0.000000
    07    12  2022    08        0.000000
    07    12  2022    09        0.000000
    07    12  2022    10        0.000000
    07    12  2022    11        0.000000
    07    12  2022    12        0.000000
    07    12  2022    13        0.000000
    07    12  2022    14        0.000000
    07    12  2022    15        0.000000
    07    12  2022    16        0.000000
    07    12  2022    17        0.000000
    07    12  2022    18        0.000000
    07    12  2022    19        0.000000
    07    12  2022    20        0.000000
    07    12  2022    21        0.000000
    07    12  2022    22        0.000000
    07    12  2022    23        0.000000
    08    12  2022    00        0.000000
    08    12  2022    01        0.000000
    08    12  2022    02        0.000000
    08    12  2022    03        0.000000
    08    12  2022    04        0.000000
    08    12  2022    05        0.000000
    08    12  2022    06        0.000000
    08    12  2022    07        0.000000
    08    12  2022    08        0.000000
    08    12  2022    09        0.000000
    08    12  2022    10        0.000000
    08    12  2022    11        0.000000
    08    12  2022    12        0.000000
    08    12  2022    13        0.000000
    08    12  2022    14        0.000000
    08    12  2022    15        0.000000
    08    12  2022    16        0.000000
    08    12  2022    17        0.000000
    08    12  2022    18        0.000000
    08    12  2022    19        0.000000
    08    12  2022    20        0.000000
    08    12  2022    21        0.000000
    08    12  2022    22        0.000000
    08    12  2022    23        0.000000
    09    12  2022    00        0.000000
    09    12  2022    01        0.000000
    09    12  2022    02        0.000000
    09    12  2022    03        0.000000
    09    12  2022    04        0.000000
    09    12  2022    05        0.000000
    09    12  2022    06        0.000000
    09    12  2022    07        0.000000
    09    12  2022    08        0.000000
    09    12  2022    09        0.000000
    09    12  2022    10        0.000000
    09    12  2022    11        0.000000
    09    12  2022    12        0.000000
    09    12  2022    13        0.000000
    09    12  2022    14        0.000000
    09    12  2022    15        0.000000
    09    12  2022    16        0.000000
    09    12  2022    17        0.000000
    09    12  2022    18        0.000000
    09    12  2022    19        0.000000
    09    12  2022    20        0.000000
    09    12  2022    21        0.000000
    09    12  2022    22        0.000000
    09    12  2022    23        0.000000
    10    12  2022    00        0.000000
    10    12  2022    01        0.000000
    10    12  2022    02        0.000000
    10    12  2022    03        0.000000
    10    12  2022    04        0.000000
    10    12  2022    05        0.000000
    10    12  2022    06        0.000000
