datetime,dia,mes,ano,hora,nivel_cm
2022-07-08 10:00:00,8,7,2022,10,476.0
2022-07-08 11:00:00,8,7,2022,11,472.0
2022-07-08 12:00:00,8,7,2022,12,468.0
2022-07-08 13:00:00,8,7,2022,13,464.0
2022-07-08 14:00:00,8,7,2022,14,459.0
2022-07-08 15:00:00,8,7,2022,15,455.0
2022-07-08 16:00:00,8,7,2022,16,450.0
2022-07-08 17:00:00,8,7,2022,17,445.0
2022-07-08 18:00:00,8,7,2022,18,441.0
2022-07-08 19:00:00,8,7,2022,19,435.0
2022-07-08 20:00:00,8,7,2022,20,430.0
2022-07-08 21:00:00,8,7,2022,21,424.0
2022-07-08 22:00:00,8,7,2022,22,418.0
2022-07-08 23:00:00,8,7,2022,23,413.0
2022-07-09 00:00:00,9,7,2022,0,407.0
2022-07-09 01:00:00,9,7,2022,1,401.0
2022-07-09 02:00:00,9,7,2022,2,394.0
2022-07-09 03:00:00,9,7,2022,3,388.0
2022-07-09 04:00:00,9,7,2022,4,381.0
2022-07-09 05:00:00,9,7,2022,5,375.0
2022-07-09 06:00:00,9,7,2022,6,368.0
2022-07-09 07:00:00,9,7,2022,7,361.0
2022-07-09 08:00:00,9,7,2022,8,354.0
2022-07-09 09:00:00,9,7,2022,9,348.0
2022-07-09 10:00:00,9,7,2022,10,341.0
2022-07-09 11:00:00,9,7,2022,11,335.0
2022-07-09 12:00:00,9,7,2022,12,329.0
2022-07-09 13:00:00,9,7,2022,13,322.0
2022-07-09 14:00:00,9,7,2022,14,316.0
2022-07-09 15:00:00,9,7,2022,15,310.0
2022-07-09 16:00:00,9,7,2022,16,304.0
2022-07-09 17:00:00,9,7,2022,17,298.0
2022-07-09 18:00:00,9,7,2022,18,292.0
2022-07-09 19:00:00,9,7,2022,19,286.0
2022-07-09 20:00:00,9,7,2022,20,280.0
2022-07-09 21:00:00,9,7,2022,21,275.0
2022-07-09 22:00:00,9,7,2022,22,270.0
2022-07-09 23:00:00,9,7,2022,23,265.0
2022-07-10 00:00:00,10,7,2022,0,261.0
2022-07-10 01:00:00,10,7,2022,1,257.0
2022-07-10 02:00:00,10,7,2022,2,253.0
2022-07-10 03:00:00,10,7,2022,3,249.0
2022-07-10 04:00:00,10,7,2022,4,245.0
2022-07-10 05:00:00,10,7,2022,5,242.0
2022-07-10 06:00:00,10,7,2022,6,238.0
2022-07-10 07:00:00,10,7,2022,7,235.0
2022-07-10 08:00:00,10,7,2022,8,232.0
